Company Name,Website,LinkedIn,Owner Name,Owner LinkedIn URL,Country,Email,Email Score,Services,White Label Signals,Pain Point,Team Size,Judge Score,Sent date,FU 1,FU 2,FU 3,Status,Source
Flowrushtech,https://flowrushtech.com,,,,,,,,,,,,,,,,,SCOUT-WL v4
Codeable,https://codeable.io,,,,UK,,,"web development, UI/UX design, eCommerce, QA/Testing",partner program,,,,,,,,,SCOUT-WL v4
Fireart,https://fireart.studio,https://www.linkedin.com/company/2975640,,,USA,,,"web development, mobile development, UI/UX design, cloud/DevOps, eCommerce",staff augmentation,,,,,,,,,SCOUT-WL v4
Nimapinfotech,https://nimapinfotech.com,https://www.linkedin.com/company/nimapinfotech,,,USA,,,"web development, mobile development, AI/ML, UI/UX design, cloud/DevOps","white label, staff augmentation, outsourcing",,,,,,,,,SCOUT-WL v4
Unkoa,https://unkoa.com,,,,,jamie@example.com,scraped,,,,,,,,,,,SCOUT-WL v4
Co,https://hrefagency.co.uk,https://www.linkedin.com/company/href-agency,,,,,,"web development, eCommerce","white label, partner program, staff augmentation",,,,,,,,,SCOUT-WL v4
Unlimitedwp,https://unlimitedwp.com,https://www.linkedin.com/company/theunlimitedwp,,,USA,hello@unlimitedwp.com,scraped,"web development, eCommerce","white label, staff augmentation, outsourcing",,,,,,,,,SCOUT-WL v4
Turumburum,https://turumburum.com,https://www.linkedin.com/company/turumburum,,,Ukraine,hello@turumburum.com,scraped,"web development, mobile development, UI/UX design, eCommerce",white label,,,,,,,,,SCOUT-WL v4
Ozosoft,https://ozosoft.in,https://www.linkedin.com/company/ozosoft,,,,,,"web development, mobile development, UI/UX design, eCommerce, custom software",,,,,,,,,,SCOUT-WL v4
Pixelcrayons,https://pixelcrayons.com,https://www.linkedin.com/company/pixelcrayons,,,USA,sales@pixelcrayons.com,scraped,"web development, mobile development, UI/UX design, cloud/DevOps, SaaS","white label, staff augmentation, outsourcing",,,,,,,,,SCOUT-WL v4
Business,https://business.com,https://www.linkedin.com/company/business-com,,,,,,eCommerce,outsourcing,,,,,,,,,SCOUT-WL v4
Allusivedigital,https://allusivedigital.com,,,,USA,info@allusivedigital.com,scraped,"web development, mobile development, UI/UX design, eCommerce, QA/Testing",white label,,,,,,,,,SCOUT-WL v4
Channelfutures,https://channelfutures.com,,,,,,,,,,,,,,,,,SCOUT-WL v4
Freelancer,https://freelancer.com,https://www.linkedin.com/company/freelancer-com,,,Australia,,,"mobile development, AI/ML, UI/UX design, eCommerce",,,,,,,,,,SCOUT-WL v4
Engagebay,https://engagebay.com,https://www.linkedin.com/company/engagebay,,,,,,"mobile development, eCommerce",reseller,,,,,,,,,SCOUT-WL v4
